GEOID,totalUnits,occupiedUnits,vacantUnits,whiteHouseholds,renterOccupied,vacancyShare,whiteShare,renterShare,name
060750351003,450,416,34,205,167,0.07555555555555556,0.49278846153846156,0.4014423076923077,"Block Group 3,  Census Tract 351"
060750351004,288,277,11,122,86,0.03819444444444445,0.4404332129963899,0.3104693140794224,"Block Group 4,  Census Tract 351"
060750351005,346,333,13,137,100,0.03757225433526012,0.4114114114114114,0.3003003003003003,"Block Group 5,  Census Tract 351"
060750351007,467,454,13,164,147,0.027837259100642397,0.36123348017621143,0.3237885462555066,"Block Group 7,  Census Tract 351"
060750352012,347,329,18,133,108,0.05187319884726225,0.40425531914893614,0.3282674772036474,"Block Group 2,  Census Tract 352.01"
060750352013,392,369,23,185,137,0.058673469387755105,0.5013550135501355,0.3712737127371274,"Block Group 3,  Census Tract 352.01"
060750352015,353,336,17,145,123,0.04815864022662889,0.43154761904761907,0.36607142857142855,"Block Group 5,  Census Tract 352.01"
060750352021,698,647,51,351,457,0.07306590257879657,0.5425038639876353,0.7063369397217929,"Block Group 1,  Census Tract 352.02"
060750352023,565,536,29,334,338,0.05132743362831858,0.6231343283582089,0.6305970149253731,"Block Group 3,  Census Tract 352.02"
060750353001,357,338,19,123,102,0.05322128851540616,0.363905325443787,0.30177514792899407,"Block Group 1,  Census Tract 353"
060750353002,540,520,20,196,223,0.037037037037037035,0.3769230769230769,0.4288461538461538,"Block Group 2,  Census Tract 353"
060750353004,328,318,10,127,78,0.03048780487804878,0.39937106918238996,0.24528301886792453,"Block Group 4,  Census Tract 353"
060750353005,491,471,20,236,237,0.04073319755600815,0.5010615711252654,0.5031847133757962,"Block Group 5,  Census Tract 353"
060750353006,468,453,15,150,149,0.03205128205128205,0.33112582781456956,0.32891832229580575,"Block Group 6,  Census Tract 353"
060750354002,506,483,23,195,125,0.045454545454545456,0.40372670807453415,0.2587991718426501,"Block Group 2,  Census Tract 354"
060750354003,430,410,20,233,163,0.046511627906976744,0.5682926829268292,0.3975609756097561,"Block Group 3,  Census Tract 354"
060750354004,637,615,22,251,257,0.03453689167974882,0.408130081300813,0.41788617886178864,"Block Group 4,  Census Tract 354"
060750401001,375,354,21,273,175,0.056,0.7711864406779662,0.4943502824858757,"Block Group 1,  Census Tract 401"
060750401002,572,528,44,307,435,0.07692307692307693,0.5814393939393939,0.8238636363636364,"Block Group 2,  Census Tract 401"
060750401003,677,612,65,314,503,0.09601181683899557,0.5130718954248366,0.8218954248366013,"Block Group 3,  Census Tract 401"
060750402001,778,727,51,452,514,0.06555269922879177,0.6217331499312242,0.7070151306740028,"Block Group 1,  Census Tract 402"
060750402002,442,406,36,181,333,0.08144796380090498,0.4458128078817734,0.8201970443349754,"Block Group 2,  Census Tract 402"
060750402004,724,665,59,447,414,0.08149171270718232,0.6721804511278195,0.6225563909774436,"Block Group 4,  Census Tract 402"
060750426011,792,709,83,373,560,0.10479797979797979,0.5260930888575458,0.7898448519040903,"Block Group 1,  Census Tract 426.01"
060750426021,469,427,42,247,293,0.08955223880597014,0.5784543325526932,0.6861826697892272,"Block Group 1,  Census Tract 426.02"
060750426022,513,466,47,296,261,0.09161793372319688,0.6351931330472103,0.5600858369098712,"Block Group 2,  Census Tract 426.02"
060750426023,566,518,48,321,365,0.08480565371024736,0.6196911196911197,0.7046332046332047,"Block Group 3,  Census Tract 426.02"
060750427002,878,791,87,401,596,0.09908883826879271,0.506953223767383,0.7534766118836915,"Block Group 2,  Census Tract 427"
060750427003,856,791,65,419,529,0.07593457943925233,0.5297092288242731,0.6687737041719343,"Block Group 3,  Census Tract 427"
060750428001,475,448,27,327,148,0.056842105263157895,0.7299107142857143,0.33035714285714285,"Block Group 1,  Census Tract 428"
060750428002,304,267,37,222,21,0.12171052631578948,0.8314606741573034,0.07865168539325842,"Block Group 2,  Census Tract 428"
060750451001,1023,961,62,511,697,0.06060606060606061,0.5317377731529657,0.7252861602497399,"Block Group 1,  Census Tract 451"
060750451003,675,641,34,274,500,0.05037037037037037,0.42745709828393136,0.7800312012480499,"Block Group 3,  Census Tract 451"
060750452001,778,715,63,364,518,0.08097686375321336,0.509090909090909,0.7244755244755244,"Block Group 1,  Census Tract 452"
060750452002,743,691,52,376,483,0.06998654104979811,0.5441389290882779,0.6989869753979739,"Block Group 2,  Census Tract 452"
060750452004,460,424,36,200,176,0.0782608695652174,0.4716981132075472,0.41509433962264153,"Block Group 4,  Census Tract 452"
